age,monthly_income,loan_amount,tenure_months,num_credit_lines,has_previous_default,job_type_civil_servant,job_type_employee,job_type_entrepreneur,job_type_freelance,education_level_bachelor,education_level_diploma,education_level_high_school,education_level_master,city_Bandung,city_Bekasi,city_Jakarta,city_Surabaya,city_Yogyakarta,marital_status_divorced,marital_status_married,marital_status_single,target
38,20260831,57014732,22,8.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1
60,31903885,38316806,42,0.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
60,4849205,39483591,67,5.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0
36,18332229,49050971,6,6.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1
59,19986355,20811004,45,4.0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
54,33890439,47898683,70,9.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,1
46,17262208,54032553,41,6.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1
54,14440349,7782366,41,1.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
51,27757242,8436453,43,4.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
60,8952581,44936653,40,10.0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
36,5230077,9137086,9,3.0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
24,7530732,5169456,18,0.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
39,33012972,6250651,17,0.0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
33,5331158,49828537,42,1.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
40,8144095,24668085,64,0.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1
57,33376273,27154346,35,6.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0
59,30523039,76459291,50,1.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
48,12348833,26767062,9,8.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
46,34134073,42893620,27,0.0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1
32,34943422,4243911,31,5.0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1
21,6787414,57207972,12,3.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1
36,16789498,10666154,36,0.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
39,17839987,76478945,14,3.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
30,9011423,73546144,69,10.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1
52,19313536,6347230,28,9.0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
27,13418587,77656168,27,10.0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0
40,15342949,7853618,42,10.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
27,7861578,15042997,21,6.0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
34,20527438,26777074,66,3.0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
59,23715682,44253977,71,0.0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
47,27628603,55944737,49,4.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
37,33165785,41975572,31,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
29,23944344,13434596,53,2.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0
23,25839396,27318139,18,2.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
56,26275632,43600928,17,2.0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
40,29678205,44200985,14,7.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
45,28476722,29590844,23,8.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1
32,17260806,8360194,19,9.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
23,14442339,75878938,11,4.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1
29,27694639,54999178,51,7.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
26,13875697,6241008,24,5.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0
29,9609088,36393711,34,9.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1
26,29992877,5637170,36,9.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
44,18317977,32697886,50,6.0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
25,11825345,3619145,57,9.0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
44,3131568,8435937,63,4.0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1
43,22408815,68306952,62,9.0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
56,9278872,67052017,54,4.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1
40,27905392,55246818,29,7.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
25,26375524,69626382,38,9.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1
33,18975744,43113390,30,5.0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
40,24940087,38010209,15,5.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
33,18237473,63883217,31,5.0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
32,23806856,46147599,15,6.0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
31,22610021,57665939,72,5.0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0
40,27050389,33463130,49,10.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
57,26558222,14572731,33,5.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
58,20592425,29986352,66,8.0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
49,25434008,71697734,46,4.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
58,3747272,45416397,67,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1
60,18002497,39743221,15,3.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1
51,24117330,26734716,11,3.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1
55,19074054,33530350,66,2.0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
52,11788453,61699301,34,10.0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1
39,10060272,75010950,55,2.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
32,15100859,78804068,30,4.0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0
58,9236786,36311743,25,5.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
41,19694942,27435447,10,9.0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
25,9552217,10479838,32,9.0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
53,12515265,48893979,45,10.0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1
23,7972785,38585287,35,2.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
51,29985420,45666782,41,6.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
32,15028753,60762468,67,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
43,15267517,1702492,70,7.0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
46,31669290,69948727,68,8.0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
55,29447647,57910582,42,10.0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
59,3181814,56444932,69,3.0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1
55,12004602,33038544,7,2.0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
39,29596452,1200405,63,3.0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
35,18348945,67228936,22,10.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1
40,9268954,47967087,7,3.0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0
39,15688614,39141437,69,8.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1
34,14917559,34727884,6,3.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1
33,13247950,8558835,53,6.0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
34,19593704,24775345,52,7.0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0
53,21450711,46358542,42,8.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1
33,14412361,50203050,31,9.0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1
40,17348574,16512413,44,2.0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
27,16768142,45071972,16,4.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
43,18095457,39092441,20,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
58,15160596,74724630,34,1.0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
40,27264755,49288226,70,6.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0
37,29316464,60169964,43,6.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
31,25643579,37848952,6,3.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
32,28383196,48074143,11,2.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0
60,3272636,31168681,18,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
26,32072105,57488382,42,5.0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0
43,11674883,78931546,50,9.0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
39,34398571,43178716,32,2.0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
59,26610757,11073038,33,0.0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0
38,12251720,70405309,44,6.0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
30,25487227,39726981,21,10.0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0
40,4164267,3007530,34,0.0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0
57,5623823,11476764,55,8.0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1
30,33367399,79262206,52,1.0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0
33,33028970,3731092,47,9.0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1
47,26431112,18193662,11,9.0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
34,12957120,58592705,17,8.0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
21,4390586,3615533,19,0.0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
49,5589706,32790915,38,6.0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1
47,6462668,42432581,31,5.0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0
51,4413055,67430411,49,5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
55,31804505,21741000,28,5.0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0
59,4990094,10649948,49,10.0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1
22,33898727,44308592,30,10.0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
59,9673781,45333614,59,5.0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1
51,32214130,79730349,47,5.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1
58,26808382,65895707,29,7.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
35,10227894,30535359,33,6.0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1
46,14448067,5112315,53,10.0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,1
59,31205832,72705586,9,9.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
36,3920153,12666412,67,2.0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0
58,10869215,66619564,58,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0
26,31440102,69654330,14,5.0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,1
32,21499167,39460909,43,6.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0
